Date,Open,High,Low,Close,Volume,Adj Close
2012-08-27,87.57,88.48,87.04,87.43,1558000,73.56
2012-08-28,86.99,87.39,86.32,87.02,2797500,73.21
2012-08-29,86.96,87.12,86.39,86.53,1386500,72.8
2012-08-30,85.89,86.06,84.61,85.09,2134300,71.59
2012-08-31,85.69,87.0,85.34,85.75,2478100,72.14
2012-09-04,85.9,85.94,84.0,84.37,2840800,70.98
2012-09-05,84.46,84.74,83.73,84.47,2581100,71.07
2012-09-06,85.39,87.59,85.24,86.55,2483100,72.82
2012-09-07,87.01,89.91,87.01,89.9,3400400,75.64
2012-09-10,89.98,90.59,89.4,89.58,2090300,75.37
2012-09-11,89.94,90.45,89.5,89.79,2347400,75.54
2012-09-12,90.13,90.52,89.33,90.51,1895500,76.15
2012-09-13,90.72,93.36,90.0,92.48,3047600,77.81
2012-09-14,93.19,94.87,92.01,92.48,3858800,77.81
2012-09-17,92.41,93.75,91.86,92.1,3092600,77.49
2012-09-18,91.91,92.22,89.92,90.65,2666200,76.27
2012-09-19,90.5,90.73,88.48,89.21,4129800,75.06
2012-09-20,88.22,89.7,87.73,89.17,3598500,75.02
2012-09-21,89.74,89.99,88.3,88.59,3740700,74.53
2012-09-24,88.41,88.41,86.71,86.95,3101900,73.15
2012-09-25,87.27,87.79,85.21,85.28,2878500,71.75
2012-09-26,84.72,86.0,84.5,85.24,3093500,71.72
2012-09-27,85.95,87.23,85.62,86.84,2348700,73.06
2012-09-28,86.68,87.41,85.58,86.47,2592900,72.75
2012-10-01,86.95,87.46,86.09,86.41,2340800,72.7
2012-10-02,86.98,87.19,86.1,86.55,2607500,72.82
2012-10-03,86.55,86.75,85.45,86.5,3693800,72.78
2012-10-04,86.94,87.19,85.79,86.52,2562000,72.79
2012-10-05,86.9,87.17,85.45,85.89,1951600,72.26
2012-10-08,85.21,86.56,85.02,86.43,1791200,72.72
2012-10-09,86.61,87.42,85.93,86.95,1880900,73.15
2012-10-10,86.76,87.35,85.38,85.47,2292600,71.91
2012-10-11,86.3,86.98,85.94,85.97,1933100,72.33
2012-10-12,85.71,86.47,84.74,85.33,2377400,71.79
2012-10-15,85.07,85.64,84.69,85.44,3169600,71.88
2012-10-16,86.0,87.42,85.89,87.09,2218400,73.27
2012-10-17,87.56,88.86,86.82,88.73,2871300,74.65
2012-10-18,88.07,89.08,87.74,88.72,2690600,74.79
2012-10-19,88.73,88.91,86.71,86.87,2693100,73.23
2012-10-22,86.67,86.81,84.6,85.53,2962600,72.1
2012-10-23,83.95,84.05,82.72,83.13,2835300,70.07
2012-10-24,83.65,83.97,82.15,82.25,2817400,69.33
2012-10-25,83.1,83.15,81.8,82.81,2373900,69.8
2012-10-26,82.83,83.1,81.95,82.36,2393400,69.43
2012-10-31,82.09,82.92,79.66,82.72,2839300,69.73
2012-11-01,82.65,83.25,81.08,81.85,4388200,69.0
2012-11-02,82.47,82.71,80.98,81.22,2476800,68.46
2012-11-05,81.12,81.27,80.21,80.95,2151900,68.24
2012-11-06,81.34,82.9,81.28,82.82,3608800,69.81
2012-11-07,81.8,82.0,79.82,79.89,3842100,67.34
2012-11-08,80.02,80.58,78.89,78.89,2701900,66.5
2012-11-09,78.33,79.29,77.8,78.56,4276400,66.22
2012-11-12,78.86,78.99,78.02,78.57,1896800,66.23
2012-11-13,78.0,78.9,77.29,77.34,2736700,65.19
2012-11-14,78.06,78.61,76.18,76.32,3501800,64.33
2012-11-15,76.24,77.17,75.5,75.65,3968700,63.77
2012-11-16,76.07,76.23,74.5,75.3,5390800,63.47
2012-11-19,76.32,77.1,75.88,77.1,3462400,64.99
2012-11-20,77.01,77.28,75.57,75.8,3415400,63.9
2012-11-21,75.8,76.33,75.38,76.3,2940400,64.32
2012-11-23,76.61,77.14,76.37,77.14,1541200,65.03
2012-11-26,76.42,76.72,75.82,76.48,4068900,64.47
2012-11-27,76.23,77.75,76.17,77.23,3643000,65.1
2012-11-28,76.51,77.65,76.14,77.6,2750500,65.41
2012-11-29,78.28,78.28,76.76,76.97,2284500,64.88
2012-11-30,76.94,77.6,76.57,77.09,2914200,64.98
2012-12-03,77.72,77.95,76.32,76.36,2632400,64.37
2012-12-04,76.3,76.47,75.63,76.26,2483800,64.28
2012-12-05,76.58,78.16,76.51,77.73,3398500,65.52
2012-12-06,77.16,77.45,75.82,76.37,3580600,64.38
2012-12-07,76.62,76.93,76.11,76.51,2448700,64.49
2012-12-10,75.69,75.96,74.7,75.07,4059100,63.28
2012-12-11,75.4,76.36,75.3,76.35,4049700,64.36
2012-12-12,76.89,78.51,76.77,77.81,4809000,65.59
2012-12-13,77.36,78.38,76.7,77.4,3197400,65.24
2012-12-14,76.96,77.49,76.79,77.02,2383300,64.92
2012-12-17,77.31,77.77,76.9,77.46,2223300,65.29
2012-12-18,77.53,80.33,77.36,80.16,4382700,67.57
2012-12-19,80.05,80.97,79.85,79.88,3973100,67.33
2012-12-20,80.16,80.48,79.26,79.97,3098200,67.41
2012-12-21,78.64,80.0,78.11,80.0,3985300,67.44
2012-12-24,79.36,79.5,78.59,78.68,1362700,66.32
2012-12-26,79.15,79.34,78.16,78.24,1779700,65.95
2012-12-27,78.2,78.48,77.17,78.24,2124600,65.95
2012-12-28,77.58,77.87,77.02,77.05,2195800,64.95
2012-12-31,76.67,78.54,76.49,78.5,2460300,66.17
2013-01-02,80.0,80.75,79.53,80.74,3468800,68.06
2013-01-03,80.6,82.44,80.04,81.82,3095200,68.97
